References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
A1	2	2.54 mm header 15 pin 1 row	Samtec inc	SSA-115-S-T		SSW-115-01-T-S	Samtec	SSA-115-S-T	Samtec	SSW-115-01-T-S	SAM1213-15-ND	200SSW11501TS	1981501		2779587
C1	1	680 uf electrolict cap	Rubycon	35ZLH680MEFC10X23							1189-1749-ND	23235ZLH680MEFC10X2	7037560		8126771
C2	1	220 uf electrolitic cap	Panasonic	EEUFC1V221	Panasonic	EEU-FC1V221					P10297-ND	667EEUFC1V221	3150726		9692282
D1	1	Red LED 5mm	kingbright	L-53HD	Kingbright	L-53HD	Vishay	VLCS5830			754-2157-ND	78VLCS5830	2285988		2889660
D2	1	Switching Diode, 400mA 100V	On Semiconductor	1N4148TR	Vishay	1N4148TR	ON Semiconductor	1N4148TR			1N4148FSCT-ND	5121N4148TR	6715477		9843680
D3	1	24V Zener Diode 5% 5 W	On Semiconductor	1N5359BG	ON Semiconductor	1N5359BG					1N5359BGOS-ND	8631N5359BG	463808		9558179
D4	1	40V 3A, Schottky Diode	STM	1N5822RL	STMicroelectronics	1N5822RL					497-14742-1-ND	5111N5822TR	7146819		3214544
J1,J4	2	Right Angle 50Ω PCB Mount Bulkhead Fitting BNC Connector,	TE connectivity	1-1337542-0	TE Connectivity	1-1337542-0					A97552-ND	571113375420	5121203		1020954
J2	1	Barrel jack	Cliff	FC68148 DC10A	RS pro	1438915							1438915		
J3;D1	2	JST Header 2 pin B2B XH series	JST	B2B-XH-A(LF)(SN)							455-2247-ND		8201554		1516276
L1	1	33 μH ±10% Ferrite Radial Inductor	Bourns	RLB0914-330KL							RLB0914-330KL-ND	652RLB0914330KL	8118853		2309242
Q1	1	NPN darlington	Fairchild	KSP 13BU	ON Semiconductor	KSP13BU					KSP13BU-ND	512KSP13BU	7390344		2825113
R1, R2, R3	3	220 resistor 250mW	Stackpole electronics	CF14JT220R	Stackpole Electronics	CF14JT220R	RS-PRO	707-8176			CF14JT220RCT-ND		707-8176		
R4, R5, R6	3	1k resistor 250mW	Yageo	SQP500JB-1K	TE Connectivity	CFR16J1K0					1.0KW-5-ND	603SQP500JB1K	1251150		2329486
RV1	1	1k 1W 10% potentiometer	Vishay	249FGJS0XB25102KA	Bourns	51CAD-E28-A10L					51CAD-E28-A10L-ND	65251CADE28A10L	410176		1107271
SW1	1	DPDT	Multicomp	2MD3T2B2M6RE	RS-PRO	"    734-7205"							"    734-7205"		1550091
SW2	1	JST Header 3 pin B3B XH series	JST	B3B-XH-A(LF)(SN)							455-2248-ND		8201557		1516277
U1	1	step down voltage regulator	Texas instruments	LM2596T-12/NOPB	Texas Instruments	LM2596T-12/NOPB					LM2596T-12/NOPB-ND	926LM2596T12/NOPB	5333721		1693993
A1	1	Arduino Nano	"Arduino "	A000005									"    696-1667"		
