name,manufacturer,order id,retailer,quantity,obs1,obs2,URL
Solenoid (either 2 ms or 7 ms),FESTO,MHE2-M1SH-3/2G-M7-K-RR,Kiowa,1,Pneumatics,2 ms response + cable,http://www.kiowa.co.uk/422-P00043766/MHE2-M1H-3/2G-M7-K-Festo-Solenoid-valve
Precision pressure regulator,FESTO,LRP-1/4-4,RS,1,Pneumatics,0.05 to 4.0 bar,https://uk.rs-online.com/web/p/pneumatic-regulators/1215642/
Gauge,FESTO,MAP-40-4-1/8-EN,Kiowa,1,Pneumatics,"0.0 to 4.0 bar, 1/8 inch thread",http://www.kiowa.co.uk/960-P00037210/MAP-40-4-1/8-EN-Festo-Precision-pressure-gauge
"Push-in (6 mm) to thread (1/4"")",FESTO,QSL-1/4-6,RS,1,Pneumatics,6 mm to 1/4 inch,https://uk.rs-online.com/web/p/pneumatic-elbow-threaded-to-tube-adaptors/1216191/
"Push-in (4 mm) to thread (1/4"")",FESTO,QS-1/4-4,RS,1,Pneumatics,4 mm to 1/4 inch,https://uk.rs-online.com/web/p/pneumatic-straight-threaded-to-tube-adaptors/1216213/
Push-in (4 mm) to thread (M7),FESTO,QSM-M7-4-I,RS,2,Pneumatics,4 mm to M7 thread,https://uk.rs-online.com/web/p/pneumatic-straight-threaded-to-tube-adaptors/1216042/
4mm OD plastic tubing,FESTO,PUN-4x0.75,RS,12 cm,Pneumatics,4 mm OD and 10 bar,https://uk.rs-online.com/web/p/air-hose/1216280/
,,,,,,,
Arduino Nano,Arduino,,RS,1,Electronics,nano,https://uk.rs-online.com/web/c/semiconductors/semiconductor-development-kits/processor-microcontroller-development-kits/?searchTerm=arduino%20nano&redirect-relevancy-data=636F3D3126696E3D4931384E53656172636847656E65726963266C753D656E266D6D3D6D61746368616C6C7061727469616C26706D3D5E2E2A2426706F3D31333326736E3D592673723D2673743D43415443485F414C4C5F44454641554C542673633D592677633D4E4F4E45267573743D61726475696E6F206E616E6F267374613D61726475696E6F206E616E6F26&r=f
Darlington pair NPN transistor,Fairchild,KSP 13BU,Farnell,1,Electronics,"Ic = 500 mA, Vces = 30 V",http://uk.farnell.com/on-semiconductor/ksp13bu/transistor-npn-30v-0-5a-to-92/dp/2825113?ost=KSP+13BU&autoc=ksp13bu&ddkey=http%3Aen-GB%2FElement14_United_Kingdom%2Fsearch
1k? variable resistor,Vishay,249BBHS0XB25102KA,Farnell,1,Electronics,panel mount,http://uk.farnell.com/vishay/249bbhs0xb25102ka/potentiometer-1k/dp/9609210
Knob for variable resistor,RS Online,299-4957,RS,1,Electronics,6mm shaft radius,https://uk.rs-online.com/web/p/potentiometer-knobs/2994957/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3239392D34393537267374613D3239393439353726
DPDT switch,RS Online,734-7016,RS,1,Electronics,on-on panel mount,https://uk.rs-online.com/web/p/toggle-switches/7347016/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3733342D37303136267374613D3733343730313626
SPST footswitch,RS Online,335-319,RS,1,Electronics,push-to-contact,https://uk.rs-online.com/web/p/foot-switches/0335319/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3333352D333139267374613D3033333533313926
24V dc desktop PSU 2.1 mm jack,RS Online,436-058,RS,1,Electronics,24 V dc 1 A,https://uk.rs-online.com/web/p/desktop-power-supply/0436058/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3433362D303538267374613D3034333630353826
2.1 mm right angle dc socket,RS Online,884-0957,RS,1,Electronics,2.1 mm right angle,https://uk.rs-online.com/web/p/dc-power-sockets/8840957/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3838342D30393537267374613D3838343039353726
24 V Zener Diode,Semiconductor,1N5359BG,Farnell,1,Electronics,24V,http://uk.farnell.com/on-semiconductor/1n5359bg/diode-zener-24v-5w/dp/9558179
1N4148 signal diode,Fairchild,1n4148,Farnell,1,Electronics,24V,http://uk.farnell.com/vishay/1n4148tr/diode-fast-sw-100v-0-3a-do-35/dp/1469384?st=1n4148
3 mm LED,Digikey,350-1557-ND,Digikey,1,Electronics,"3mm round, throughhole, grn",https://www.digikey.com/product-detail/en/dialight/5219210F/350-1557-ND/808955
Mount for 3 mm LED,Digikey,67-1330-ND,Digikey,1,Electronics,3mm panel mount,https://www.digikey.com/products/en?keywords=67-1330-ND
220? resistor,Digikey,CF14JT220RCT-ND,Digikey,3,Electronics,220 ? through hole resistor,https://www.digikey.com/products/en?keywords=CF14JT220RCT-ND
1 k? resistor,Digikey,CF14JT1K00CT-ND,Digikey,3,Electronics,1 k? through hole resistor,https://www.digikey.com/products/en?keywords=CF14JT1K00CT-ND
BNC connector male,RS Online,423-1927,RS,1,Electronics,50 ? Cable mount solder,https://uk.rs-online.com/web/p/bnc-connectors/4231927/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3432332D31393237267374613D3432333139323726
BNC connectors female,Digikey,A97548-ND,Digikey,2,Electronics,Panel mount female,https://www.digikey.co.uk/products/en?keywords=A97548-ND
"Red, black, blue and green wire",RS Online,331-862,RS,50 cm,Electronics,20 AWG,https://uk.rs-online.com/web/p/hookup-equipment-wire/0331862/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3333312D383632267374613D3033333138363226
Cable shrink,RS Online,170-6377,RS,10 cm,Electronics,Shrunk diameter 1.2 mm,https://uk.rs-online.com/web/p/heat-shrink-cold-shrink-sleeves/1706377/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3137302D36333737267374613D3137303633373726
,,,,,,,
M3 x 24 screw,RS Online,293-325,RS,4,Mechanical,M3 x 24 Hex socket cap,https://uk.rs-online.com/web/p/socket-screws/0293325/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3239332D333235267374613D3032393333323526
M3 nut,RS Online,122-4400,RS,4,Mechanical,M3 nuts,https://uk.rs-online.com/web/p/hex-nuts/1224400/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3132322D34343030267374613D3132323434303026
M3 x 5 machine screw,RS Online,489-9315,RS,2,Mechanical,M3 x 5mm screw,https://uk.rs-online.com/web/p/machine-screws/4899315/
